id;title;description;availability;product_type;google_product_category;condition;price;link;image_link;brand;sale_price;mpn
7437;"Adeziv Master Orzelowska, rezistent la apa si ulei, pentru extensii gene";;0;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"100.00 RON";https://pinklashes.ro/en/adhesives/water-and-oil-resistant-master-orzelowska-adhesive-for-false-eyelashes.html;https://https://pinklashes.ro/31646-large_default/water-and-oil-resistant-master-orzelowska-adhesive-for-false-eyelashes.jpg;72982;"100.00 RON";72982
7438;"Adeziv R88 Verde, uscare 1-2 sec, rezistenta 8 saptamani, lipici volum extensii gene";;104;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"100.00 RON";https://pinklashes.ro/en/adhesives/r88-glue-green-5-ml-drying-time-1-2-sec-resistance-8-weeks.html;https://https://pinklashes.ro/34177-large_default/r88-glue-green-5-ml-drying-time-1-2-sec-resistance-8-weeks.jpg;00940;"100.00 RON";00940
7439;"Cel mai tare adeziv pentru iarna, R88 roz 10 ml 1 sec, volum, 8 saptamani rezistenta reala";;0;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"150.00 RON";https://pinklashes.ro/en/adhesives/r88-glue-pink-10-ml-drying-time-1-sec-adhesive-for-eyelash-extensions.html;https://https://pinklashes.ro/34327-large_default/r88-glue-pink-10-ml-drying-time-1-sec-adhesive-for-eyelash-extensions.jpg;"Pink Lashes";"150.00 RON";74191
7442;"Adeziv Ultra Bonding 10ml, uscare 2-3 sec, iBeauty, capac rosu, lipici universal, rezistenta 4-6 saptamani";;0;"Shop>Glues & Liquids>Adhesives";469;new;"65.00 RON";https://pinklashes.ro/en/adhesives/ultra-bonding-glue-10ml-drying-time-2-3-sec-ibeauty-universal-adhesive-for-eyelash-extensions.html;https://https://pinklashes.ro/31355-large_default/ultra-bonding-glue-10ml-drying-time-2-3-sec-ibeauty-universal-adhesive-for-eyelash-extensions.jpg;09614;"65.00 RON";09614
7443;"Adeziv Ultra Bonding 5ml, uscare 2-3 sec, iBeauty, capac rosu, lipici universal, rezistenta 4-6 saptamani";"Adezivul se intoarce pe stoc in luna Iunie, totuși poti folosi în vara adezivi Winter: Begginer si Standard, vara folosim adezivi cu uscare mai lenta, deci se potrivesc și vara. Abonați-va la notificare (mai jos) va notificam prin email când se întoarce pe stoc.";0;"Shop>Glues & Liquids>Adhesives";469;new;"55.00 RON";https://pinklashes.ro/en/adhesives/ultra-bonding-glue-5ml-drying-time-2-3-sec-ibeauty-universal-adhesive-for-eyelash-extensions.html;https://https://pinklashes.ro/31361-large_default/ultra-bonding-glue-5ml-drying-time-2-3-sec-ibeauty-universal-adhesive-for-eyelash-extensions.jpg;iBeauty;"55.00 RON";90177
7444;"Adeziv Ultra Super 10ml, uscare 1-2 sec , iBeauty, capac verde, rezistenta 4-6 saptamani, lipici pentru avansati";"Adeziv se intorce în stoc in luna Iunie, totuși poti folosi în vara adezivi Winter: Begginer si Standard, vara folosim adezivi cu uscare mai lenta, deci se potrivesc și vara. Abonați-va la notificare (mai jos), va notificam prin email când se întoarce în stoc.";0;"Shop>Glues & Liquids>Adhesives";469;new;"65.00 RON";https://pinklashes.ro/en/adhesives/ultra-super-glue-10ml-drying-time-1-2-sec-ibeauty-resistance-4-6-weeks-adhesive-for-advanced-lash-artists.html;https://https://pinklashes.ro/31364-large_default/ultra-super-glue-10ml-drying-time-1-2-sec-ibeauty-resistance-4-6-weeks-adhesive-for-advanced-lash-artists.jpg;iBeauty;"65.00 RON";20522
7445;"Adeziv Ultra Super 5ml, uscare 1-2 sec , iBeauty, capac verde, rezistenta 4-6 saptamani, lipici pentru avansati";"Adezivul se  intorce pe stoc in luna Iunie, totuși  poti folosi în vara adezivi Winter: Begginer si Standard, vara folosim adezivi cu uscare mai lenta, deci se potrivesc și vara. Abonați-va la notificare (mai jos) va notificam prin email când se întoarce în stoc.";0;"Shop>Glues & Liquids>Adhesives";469;new;"55.00 RON";https://pinklashes.ro/en/adhesives/ultra-super-glue-5ml-drying-time-1-2-sec-ibeauty-resistance-4-6-weeks-adhesive-for-advanced-lash-artists.html;https://https://pinklashes.ro/31370-large_default/ultra-super-glue-5ml-drying-time-1-2-sec-ibeauty-resistance-4-6-weeks-adhesive-for-advanced-lash-artists.jpg;iBeauty;"55.00 RON";89423
7446;"Adeziv Hyper Bond 5ml, iBeauty, 0.5 sec, capac turcoaz, / mega volum/ aplicare rapida a extensiilor de gene";;0;"Shop>Glues & Liquids>Adhesives";469;new;"55.00 RON";https://pinklashes.ro/en/adhesives/hyper-bond-glue-5ml-ibeauty-05-sec-for-low-humidity-mega-volume-very-fast-workers.html;https://https://pinklashes.ro/31374-large_default/hyper-bond-glue-5ml-ibeauty-05-sec-for-low-humidity-mega-volume-very-fast-workers.jpg;87360;"55.00 RON";87360
7447;"Adeziv Pro Cling 5ml, uscare 2-3 sec , iBeauty, rezistenta 4-6 saptamani, adeziv universal pentru extensii gene";;0;"Shop>Glues & Liquids>Adhesives";469;new;"59.00 RON";https://pinklashes.ro/en/adhesives/pro-cling-glue-5ml-drying-time-2-3-sec-ibeauty-resistance-4-6-weeks-universal-adhesive-for-eyelash-extensions.html;https://https://pinklashes.ro/31379-large_default/pro-cling-glue-5ml-drying-time-2-3-sec-ibeauty-resistance-4-6-weeks-universal-adhesive-for-eyelash-extensions.jpg;01523;"59.00 RON";01523
7449;"Adeziv Royal Care Sensitive, 5ml, uscare 2-3 sec, iBeauty, mai putini vapori,nu se agita, pentru ochi sensibili";"Adezivul se intorce pe stoc in luna Iunie, totuși poti folosi în vara adezivi Winter: Begginer si Standard, vara folosim adezivi cu uscare mai lenta, deci se potrivesc și vara. Abonați-va la notificare (mai jos) va notificam prin email când se întoarce pe stoc.";0;"Shop>Glues & Liquids>Adhesives";469;new;"59.00 RON";https://pinklashes.ro/en/adhesives/royal-care-sensitive-glue-5ml-drying-time-2-3-sec-ibeauy-resistance-4-6-weeks-adhesive-for-sensitive-eyes.html;https://https://pinklashes.ro/31381-large_default/royal-care-sensitive-glue-5ml-drying-time-2-3-sec-ibeauy-resistance-4-6-weeks-adhesive-for-sensitive-eyes.jpg;iBeauty;"59.00 RON";89150
7450;"Adeziv Super Plus ,5ml, iBeauty, uscare 1-2 sec, rezistenta 4-6 saptamani, capac auriu";;0;"Shop>Glues & Liquids>Adhesives";469;new;"55.00 RON";https://pinklashes.ro/en/adhesives/super-plus-glue-5ml-ibeauty-drying-time-1-2-sec-resistance-4-6-weeks-lash-extensions-adhesive-with-gold-cap.html;https://https://pinklashes.ro/31383-large_default/super-plus-glue-5ml-ibeauty-drying-time-1-2-sec-resistance-4-6-weeks-lash-extensions-adhesive-with-gold-cap.jpg;64124;"55.00 RON";64124
